,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,Georgetown,MY,84.13,scattered clouds,5.4112,100.3354,Cititel Penang
2,Isangel,VU,78.91,scattered clouds,-19.55,169.2667,Tanna Lodge
5,Luanda,AO,77.0,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
7,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
15,Butaritari,KI,81.82,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
20,Hithadhoo,MV,82.56,scattered clouds,-0.6,73.0833,Scoop Guest House
21,Sinnamary,GF,78.12,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
29,Atuona,PF,76.96,few clouds,-9.8,-139.0333,Villa Enata
35,Progreso,MX,78.91,broken clouds,21.2833,-89.6667,Playa Linda Hotel
39,Sao Filipe,CV,76.41,scattered clouds,14.8961,-24.4956,Hotel Xaguate
41,Ambovombe,MG,79.9,clear sky,-25.1667,46.0833,RELAHARA
56,Sawakin,SD,84.47,scattered clouds,19.1059,37.3321,فندق الدويم
57,Gizo,SB,83.59,broken clouds,-8.103,156.8419,Imagination Island
58,Honiara,SB,81.09,overcast clouds,-9.4333,159.95,Heritage Park Hotel
66,Nileshwar,IN,82.72,overcast clouds,12.25,75.1,Neeleshwar Hermitage
71,Borazjan,IR,87.8,clear sky,29.2666,51.2159,شرکت زرمهریار شعبه سوم
78,Saint-Philippe,RE,78.39,clear sky,-21.3585,55.7679,Le four à pain
82,Hilo,US,80.28,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
84,Jawhar,SO,84.85,few clouds,2.7809,45.5005,Hotel Shabelle
87,Tura,IN,82.87,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
93,Kapaa,US,80.58,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
95,Katobu,ID,86.36,broken clouds,-4.9408,122.5276,La Ode Husein
97,Alofi,NU,76.89,scattered clouds,-19.0595,-169.9187,Taloa Heights
104,Innisfail,AU,81.48,scattered clouds,-17.5333,146.0333,Moondarra Motel
111,Buala,SB,83.53,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
114,Thinadhoo,MV,81.91,broken clouds,0.5333,72.9333,
116,Mahibadhoo,MV,80.01,overcast clouds,3.7833,72.9667,Omadhoo Inn
119,Marigot,MF,81.05,few clouds,18.0667,-63.0833,"Sonesta Maho Beach Resort, Casino & Spa"
123,Grand Gaube,MU,77.4,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
124,Arlit,NE,78.53,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
126,Praia,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
135,Berbera,SO,85.95,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
138,Bambanglipuro,ID,81.97,broken clouds,-7.95,110.2833,Puri Brata
141,Pathein,MM,87.76,broken clouds,16.7833,94.7333,Pathein Hotel
144,Afua,BR,77.09,overcast clouds,-0.1567,-50.3867,Hotel Dias
146,Port Keats,AU,87.31,broken clouds,-14.25,129.55,Kardu Durrikardu Numida Hostel
147,La Asuncion,VE,89.33,clear sky,11.0333,-63.8628,Colinas de Matasiete
152,Oistins,BB,80.69,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
153,Luorong,CN,85.84,few clouds,24.4058,109.6086,荣立大酒店
154,Inhambane,MZ,78.78,broken clouds,-23.865,35.3833,Oceano
155,Ouahigouya,BF,80.56,overcast clouds,13.5828,-2.4216,Hotel Liberte
164,Shurugwi,ZW,75.65,clear sky,-19.6702,30.0059,Leilano Lodge
166,Cabo San Lucas,MX,76.51,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
178,Port Hedland,AU,87.85,clear sky,-20.3167,118.5667,The Esplanade Hotel
181,Tombouctou,ML,82.29,broken clouds,20.0,-3.0,
182,Puerto Carreno,CO,76.32,scattered clouds,6.189,-67.4859,Casa Hotel Victoria
188,Ixtapa,MX,75.67,broken clouds,20.7,-105.2,hotel la terminal
198,Togitsu,JP,78.78,few clouds,32.8333,129.85,Yasuda Ocean Hotel Togitsu
204,Dalbandin,PK,82.15,clear sky,28.8947,64.4101,Sanjrani House
208,Salalah,OM,82.49,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
210,Quatre Cocos,MU,77.11,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
212,Atambua,ID,85.66,overcast clouds,-9.1061,124.8925,Ros Muskanan
220,Mandera,KE,81.34,clear sky,3.9366,41.867,Red Sea Resort & Suites Mandera County
223,Kapit,MY,87.44,scattered clouds,2.0167,112.9333,Hotel Meligai Kapit
224,Sungai Besar,MY,84.29,overcast clouds,3.6746,100.9867,NIDA Rooms Sabak Bernam Comfort
228,Adrar,MR,83.21,overcast clouds,20.5022,-10.0711,
231,Cayenne,GF,75.24,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
233,Aitape,PG,83.73,overcast clouds,-3.1374,142.3475,
241,Bandar-E Lengeh,IR,87.91,haze,26.5579,54.8807,کافی نت پارس
249,Boa Vista,BR,78.78,light rain,2.8197,-60.6733,Aipana Plaza Hotel
250,Sur,OM,89.96,broken clouds,22.5667,59.5289,Sur Plaza Hotel
251,Souillac,MU,77.38,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
253,Kahului,US,82.42,light rain,20.8947,-156.47,Maui Seaside Hotel
254,Bengkulu,ID,82.15,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
255,Madimba,TZ,80.35,clear sky,-10.4,40.3333,
258,Kalmunai,LK,85.17,overcast clouds,7.4167,81.8167,VS Villa
267,Taunggyi,MM,75.54,few clouds,20.7833,97.0333,True Treasure Hotel
269,Mahebourg,MU,77.29,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
270,Tautira,PF,77.77,few clouds,-17.7333,-149.15,Pension Oaoa
272,Tahta,EG,76.87,clear sky,26.7693,31.5021,فندق الزيات
274,Acapulco,MX,80.42,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
278,Aneho,TG,77.2,overcast clouds,6.2333,1.6,Hotel La Linette
285,Warangal,IN,82.44,overcast clouds,18.0,79.5833,Capital O 66968 Haveli The Landmark
289,Meulaboh,ID,81.9,overcast clouds,4.1363,96.1285,Kost Pria
290,Basco,PH,78.71,heavy intensity rain,20.4487,121.9702,Nathaniel's Lodge
294,Acajutla,SV,77.94,light rain,13.5928,-89.8275,CASA DE LA PERRA
295,Mogok,MM,77.43,overcast clouds,22.9167,96.5,MOGOK HILL HOTEL
296,Nguruka,TZ,81.43,overcast clouds,-5.1092,31.0419,RUSULI LODGE
304,Kavaratti,IN,81.48,overcast clouds,10.5669,72.642,Green leaf
305,Marsh Harbour,BS,81.1,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
311,Kakonko,TZ,80.76,overcast clouds,-3.2828,30.9642,Edward Memorial Guest House
315,Nara,JP,81.77,clear sky,34.6851,135.8049,Guesthouse Nara Komachi
318,Surt,LY,76.03,clear sky,31.2089,16.5887,فندق المدينة
324,Xinyu,CN,82.63,clear sky,27.8043,114.9334,Xinyu Beihu Hotel
325,Serowe,BW,82.33,clear sky,-22.3833,26.7167,Hill View Inn
328,Wanning,CN,81.14,overcast clouds,18.8003,110.3967,Paradise Hotel
329,Bilma,NE,80.17,clear sky,18.6853,12.9164,Expeditions Ténére voyages
333,Goure,NE,82.81,few clouds,13.9835,10.2704,
338,Sakakah,SA,76.57,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
342,Atar,MR,82.8,broken clouds,20.5169,-13.0499,Oumou Elghoura
345,Ugoofaaru,MV,81.79,broken clouds,5.6667,73.0,Ungoofaaru Inn
348,Padang,ID,82.45,overcast clouds,-0.9492,100.3543,Mercure Padang
350,Beloha,MG,87.44,clear sky,-25.1667,45.05,
352,Faanui,PF,79.16,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
355,Garowe,SO,85.19,clear sky,8.4054,48.4845,Curubo Hotel
358,Bambous Virieux,MU,77.25,light rain,-20.3428,57.7575,Casa Tia Villa
361,Lazaro Cardenas,MX,77.56,light rain,17.9583,-102.2,HOTEL QUINTA ANTIGUA
362,Jinka,ET,76.1,light rain,5.65,36.65,
368,Kirakira,SB,81.03,overcast clouds,-10.4544,161.9205,SanBiz Lodge
371,Grand-Lahou,CI,75.63,light rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
374,Gigmoto,PH,87.62,scattered clouds,13.7796,124.39,Cj's Travellers Inn
378,Along,IN,87.73,clear sky,28.1667,94.7667,Hotel West
382,Bandarbeyla,SO,85.01,clear sky,9.4942,50.8122,JABIR HOTEL
384,Hervey Bay,AU,76.01,clear sky,-25.2986,152.8535,Shelly Bay Resort
387,Riyadh,SA,84.34,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
390,Namatanai,PG,83.3,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
399,Kushima,JP,77.27,clear sky,31.4583,131.2333,Hanaoka
400,Port Blair,IN,86.04,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
401,Merida,MX,78.82,broken clouds,20.9667,-89.6167,Hotel Nacional Mérida
404,Busembatia,UG,76.05,overcast clouds,0.7697,33.6131,ROMA GUEST HOUSE
419,Kasempa,ZM,81.97,few clouds,-13.4584,25.8338,Lolelunga Forest Reserve
421,Araouane,ML,85.62,scattered clouds,18.9048,-3.5265,
425,Lorengau,PG,84.92,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
426,Bonfim,BR,76.24,overcast clouds,3.0833,-59.95,
430,Abu Kamal,SY,82.54,overcast clouds,34.4506,40.9171,البوكمال
432,Dawlatabad,AF,84.04,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
435,Labuhan,ID,85.73,light rain,-6.8844,112.2051,DoubleFAG
442,Vila Velha,BR,75.15,overcast clouds,-20.3297,-40.2925,Hotel Vitória Palace
446,Adre,TD,81.27,clear sky,13.4667,22.2,
447,Hobyo,SO,81.75,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
448,Balkanabat,TM,77.72,overcast clouds,39.5108,54.3671,Nebitchi Hotel
453,Taoudenni,ML,86.09,overcast clouds,22.6783,-3.9836,
454,Coahuayana,MX,77.38,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
456,Saint-Pierre,RE,78.48,clear sky,-21.3393,55.4781,Alize Plage
457,Saint-Georges,GD,78.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
458,Loudi,CN,82.27,clear sky,27.7344,111.9944,Till Bright Hotel
464,Brownsville,US,80.91,few clouds,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
467,Vung Tau,VN,83.17,broken clouds,10.346,107.0843,Seaside Resort
468,Jamame,SO,85.44,scattered clouds,0.0722,42.7506,
472,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
473,Tessalit,ML,79.36,clear sky,20.1986,1.0114,
474,Singkang,MY,81.9,broken clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
475,Huangchuan,CN,77.0,clear sky,32.1272,115.0394,Guangzhou International Hotel
478,Ambanja,MG,82.33,clear sky,-13.6833,48.45,Hotel Salama and Fast Food
481,Gwadar,PK,84.49,clear sky,25.1216,62.3254,Sadaf Resort
484,Port-Gentil,GA,76.96,light rain,-0.7193,8.7815,Fengshui Residence
485,Buraydah,SA,81.05,clear sky,26.326,43.975,Mövenpick Qassim
489,Jibuti,DJ,85.41,clear sky,11.5,42.5,Orchid Main Camp Goubet
490,Kerewan,GM,76.32,overcast clouds,13.4898,-16.0888,ADWAC Residents
493,Mayumba,GA,76.57,moderate rain,-3.432,10.6554,LIKWALE LODGE
498,Mount Hagen,PG,77.76,haze,-5.8581,144.2274,Highlander Hotel & Apartments
502,Jieshi,CN,81.61,overcast clouds,22.8134,115.8257,Yuehai Hotel
503,Bubaque,GW,81.5,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
515,Dingle,PH,87.78,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
517,Martapura,ID,77.09,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
519,Pasighat,IN,84.79,clear sky,28.0667,95.3333,Siang Guest House
522,Waingapu,ID,86.02,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
524,Itarema,BR,77.74,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
528,Raga,SS,81.03,overcast clouds,8.4596,25.678,
531,Mangai,CD,75.7,overcast clouds,-4.05,19.5333,
541,Marabba,SD,88.27,scattered clouds,12.35,32.1833,
543,Yulara,AU,87.03,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
546,Tikrit,IQ,87.67,few clouds,34.6071,43.6782,عماره العبطه
552,Samarai,PG,82.94,broken clouds,-10.6167,150.6667,Nuli Sapi
553,Ahuimanu,US,78.51,heavy intensity rain,21.4447,-157.8378,Paradise Bay Resort
556,San Patricio,US,82.26,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
558,Amahai,ID,83.68,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
562,Najran,SA,79.45,few clouds,17.4924,44.1277,محمد هادي ال فطيح
564,Tual,ID,84.29,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
567,Mettur,IN,87.06,overcast clouds,11.8,77.8,Hotel Akash Residency
568,Saint-Marc,HT,79.03,broken clouds,19.1082,-72.6938,Maguana Hotel
570,Le Vauclin,MQ,81.84,few clouds,14.5452,-60.8388,Hôtel Cap Macabou
575,Tabas,IR,85.69,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
576,Kavieng,PG,84.25,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
577,Matara,LK,83.03,very heavy rain,5.9485,80.5353,Amaloh Boutique Resort
578,Torit,SS,84.18,overcast clouds,4.4133,32.5678,Diplomat Guest House
579,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
580,Lianzhou,CN,86.25,scattered clouds,24.7811,112.3825,Qingcheng Tourism Industry
585,Grand-Bourg,GP,75.15,clear sky,15.8835,-61.3148,Coco Beach Resort
593,Ishigaki,JP,82.53,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
599,Sefophe,BW,83.1,clear sky,-22.1833,27.9667,
608,Satana,IN,80.78,few clouds,20.5833,74.2,Yashvant hotel
610,Agadez,NE,76.59,clear sky,19.75,10.25,
611,Nichinan,JP,78.48,scattered clouds,31.6,131.3667,Guest House Aki
617,Sola,VU,81.27,broken clouds,-13.8833,167.55,Leumerus Bungalows
620,Bodden Town,KY,82.0,scattered clouds,19.2833,-81.25,Will T Place
625,Ambon,ID,86.14,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
628,Leiyang,CN,82.8,clear sky,26.4024,112.8591,Dongyang Hotel
631,Acarau,BR,77.81,scattered clouds,-2.8856,-40.12,castelo pizzaria
635,Delmas,HT,75.15,scattered clouds,18.5447,-72.3028,Idéal Villa Hôtel
638,Diffa,NE,85.41,clear sky,13.3154,12.6113,ProDAF/Diffa
640,Lalmohan,BD,87.04,clear sky,22.3384,90.7419,Arifur Rahman Miraj
644,Fortuna Foothills,US,84.29,clear sky,32.6578,-114.4119,Fortuna De Oro RV Park
648,Gasa,PS,75.88,scattered clouds,31.5,34.4667,رابطة الفنانين الفلسطينيين
649,Gao,ML,83.79,clear sky,16.6362,1.637,
650,Kathu,TH,84.74,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
655,Qui Nhon,VN,82.27,overcast clouds,13.7667,109.2333,Seagull Hotel
657,Rock Sound,BS,82.44,few clouds,24.9,-76.2,Pink Corral Bay Property
661,Oussouye,SN,78.89,light rain,12.485,-16.5469,Auberge du Routard
665,Yangambi,CD,75.24,overcast clouds,0.8102,24.4336,
673,Iracoubo,GF,78.08,few clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
674,Guatire,VE,76.69,broken clouds,10.4762,-66.5427,Parque Residencial Canaima I
677,Mizan Teferi,ET,75.9,light rain,6.9833,35.5833,Hotel Salayish - ሳላይሽ ሆቴል
678,Teluk Nibung,ID,83.17,heavy intensity rain,3.001,99.8164,Hotel Assyifa
681,Irbil,IQ,84.02,few clouds,36.1926,44.0106,Erbil International Hotel
682,Humberto De Campos,BR,76.03,overcast clouds,-2.5983,-43.4611,Pousada do Cabeça
684,Bucerias,MX,76.96,broken clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
685,Marovoay,MG,86.94,clear sky,-16.1,46.6333,Hôtel les Oliviers Marovoay
687,Kimbe,PG,84.61,light rain,-5.5502,150.1429,Kimbe Bay Hotel
694,Weligama,LK,81.45,very heavy rain,5.9667,80.4167,Weligama Bay Resort
695,Indramayu,ID,85.82,heavy intensity rain,-6.3264,108.32,Grand Trisula Hotel
696,Cockburn Town,TC,82.08,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
698,Teknaf,BD,88.5,few clouds,20.8624,92.3058,Forestry Guesthouse
