,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Rafai,CF,4.95,23.9167,72.75,92,100,0.54,overcast clouds
1,Georgetown,MY,5.4112,100.3354,84.13,86,40,5.75,scattered clouds
2,Isangel,VU,-19.55,169.2667,78.91,69,40,9.22,scattered clouds
3,Lebu,CL,-37.6167,-73.65,49.17,93,8,15.84,clear sky
4,Mataura,NZ,-46.1927,168.8643,56.48,59,5,1.1,clear sky
5,Luanda,AO,-8.8368,13.2343,77.0,83,100,8.05,overcast clouds
6,Rongcheng,CN,30.634,117.8517,74.64,42,0,7.0,clear sky
7,Vaini,TO,-21.2,-175.2,77.16,83,20,4.61,few clouds
8,Thompson,CA,55.7435,-97.8558,35.76,100,100,8.05,light rain
9,Busselton,AU,-33.65,115.3333,63.34,54,24,11.05,few clouds
10,Siguiri,GN,11.6667,-9.5,72.97,90,99,0.25,moderate rain
11,Zig,US,40.127,-92.7663,38.37,75,22,1.99,few clouds
12,Bethel,US,41.3712,-73.414,50.94,86,0,0.0,clear sky
13,Susangerd,IR,31.5608,48.1831,91.9,16,0,5.06,clear sky
14,Hofn,IS,64.2539,-15.2082,39.11,58,79,20.83,broken clouds
15,Butaritari,KI,3.0707,172.7902,81.82,74,89,15.19,overcast clouds
16,Punta Arenas,CL,-53.15,-70.9167,44.71,81,40,24.16,light rain
17,Emborion,GR,40.4833,21.55,50.31,87,91,2.19,overcast clouds
18,Ushuaia,AR,-54.8,-68.3,44.26,81,100,31.07,light rain
19,Rikitea,PF,-23.1203,-134.9692,72.54,82,1,8.95,light rain
20,Hithadhoo,MV,-0.6,73.0833,82.56,69,39,14.85,scattered clouds
21,Sinnamary,GF,5.3833,-52.95,78.12,89,36,8.3,scattered clouds
22,Tuktoyaktuk,CA,69.4541,-133.0374,28.27,77,100,20.78,light snow
23,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.85,87,72,10.42,broken clouds
24,Yellowknife,CA,62.456,-114.3525,30.72,59,75,9.22,broken clouds
25,Avarua,CK,-21.2078,-159.775,73.45,88,4,2.3,clear sky
26,Port Alfred,ZA,-33.5906,26.891,62.19,89,100,5.01,overcast clouds
27,Cidreira,BR,-30.1811,-50.2056,61.3,73,96,17.6,overcast clouds
28,Barrow,US,71.2906,-156.7887,24.82,86,100,10.36,overcast clouds
29,Atuona,PF,-9.8,-139.0333,76.96,79,17,18.28,few clouds
30,Qaanaaq,GL,77.484,-69.3632,16.95,86,100,11.61,overcast clouds
31,Puerto Ayora,EC,-0.7393,-90.3518,64.54,98,85,4.0,overcast clouds
32,Ancud,CL,-41.8697,-73.8203,43.59,87,31,4.0,scattered clouds
33,Tyup,KG,42.7276,78.3648,60.57,20,91,5.03,overcast clouds
34,High Level,CA,58.5169,-117.136,28.51,74,0,8.05,clear sky
35,Progreso,MX,21.2833,-89.6667,78.91,88,61,8.48,broken clouds
36,Mar Del Plata,AR,-38.0023,-57.5575,44.1,100,0,3.44,clear sky
37,The Pas,CA,53.8251,-101.2541,44.62,65,100,16.11,light rain
38,Srednekolymsk,RU,67.45,153.6833,15.46,94,100,6.2,overcast clouds
39,Sao Filipe,CV,14.8961,-24.4956,76.41,82,41,9.37,scattered clouds
40,Faya,SA,18.3851,42.4509,71.71,18,9,6.29,clear sky
41,Ambovombe,MG,-25.1667,46.0833,79.9,42,0,6.15,clear sky
42,Sioux Lookout,CA,50.1001,-91.917,35.67,87,100,4.61,overcast clouds
43,Luderitz,NA,-26.6481,15.1594,66.94,57,54,18.39,broken clouds
44,Rypefjord,NO,70.6333,23.6667,37.87,81,29,6.91,scattered clouds
45,Upernavik,GL,72.7868,-56.1549,22.91,92,99,5.93,overcast clouds
46,Urucara,BR,-2.5364,-57.76,73.08,95,40,2.71,scattered clouds
47,Nikolskoye,RU,59.7035,30.7861,45.79,88,94,6.4,overcast clouds
48,Severo-Kurilsk,RU,50.6789,156.125,45.84,86,27,8.95,scattered clouds
49,Tuatapere,NZ,-46.1333,167.6833,59.56,60,21,0.25,few clouds
50,Jamestown,US,42.097,-79.2353,51.39,54,0,6.91,clear sky
51,Hobart,AU,-42.8794,147.3294,56.26,64,75,17.27,broken clouds
52,Clyde River,CA,70.4692,-68.5914,30.43,93,100,17.27,overcast clouds
53,Arman,RU,59.7,150.1667,32.02,58,49,5.46,scattered clouds
54,Broken Arrow,US,36.0526,-95.7908,72.97,55,0,0.0,thunderstorm
55,Torbay,CA,47.6666,-52.7314,47.26,98,20,9.22,few clouds
56,Sawakin,SD,19.1059,37.3321,84.47,69,30,3.47,scattered clouds
57,Gizo,SB,-8.103,156.8419,83.59,68,76,3.0,broken clouds
58,Honiara,SB,-9.4333,159.95,81.09,79,99,0.89,overcast clouds
59,Pevek,RU,69.7008,170.3133,11.98,95,100,8.28,overcast clouds
60,Moba,CN,33.2288,105.0179,56.8,45,93,5.75,overcast clouds
61,Pochutla,MX,15.7432,-96.4661,74.82,94,100,3.98,light rain
62,Senneterre,CA,48.3835,-77.2328,37.31,86,20,6.26,few clouds
63,Kununurra,AU,-15.7667,128.7333,100.38,32,87,9.22,overcast clouds
64,Honningsvag,NO,70.9821,25.9704,40.75,81,20,10.36,few clouds
65,Monrovia,LR,6.3005,-10.7969,74.97,89,97,2.98,light rain
66,Nileshwar,IN,12.25,75.1,82.72,72,85,5.21,overcast clouds
67,Bykovo,RU,55.6361,38.0803,41.74,75,31,4.88,scattered clouds
68,Richards Bay,ZA,-28.783,32.0377,73.65,65,97,12.1,overcast clouds
69,Sturgeon Bay,US,44.8342,-87.377,37.76,81,100,12.66,overcast clouds
70,East London,ZA,-33.0153,27.9116,63.54,100,75,9.22,light rain
71,Borazjan,IR,29.2666,51.2159,87.8,31,0,3.02,clear sky
72,Cape Town,ZA,-33.9258,18.4232,66.38,74,20,18.01,few clouds
73,Beringovskiy,RU,63.05,179.3167,32.59,68,100,4.07,overcast clouds
74,Hermanus,ZA,-34.4187,19.2345,58.8,87,100,18.37,overcast clouds
75,Dikson,RU,73.5069,80.5464,33.28,96,100,17.45,overcast clouds
76,Evensk,RU,61.95,159.2333,23.36,74,22,8.95,few clouds
77,Khatanga,RU,71.9667,102.5,32.95,98,100,17.76,light snow
78,Saint-Philippe,RE,-21.3585,55.7679,78.39,67,9,12.1,clear sky
79,Port Macquarie,AU,-31.4333,152.9167,67.89,57,0,9.13,clear sky
80,New Norfolk,AU,-42.7826,147.0587,55.92,48,86,5.01,overcast clouds
81,Coquimbo,CL,-29.9533,-71.3436,55.13,87,100,8.05,overcast clouds
82,Hilo,US,19.7297,-155.09,80.28,90,100,3.0,heavy intensity rain
83,Mandan,US,46.8267,-100.8896,37.81,80,20,8.05,few clouds
84,Jawhar,SO,2.7809,45.5005,84.85,53,17,11.61,few clouds
85,Straumen,NO,63.8709,11.2999,51.8,92,100,4.59,light rain
86,Horizontina,BR,-27.6258,-54.3078,56.98,92,5,4.54,clear sky
87,Tura,IN,25.5198,90.2201,82.87,55,0,5.03,clear sky
88,Tiksi,RU,71.6872,128.8694,18.59,82,100,16.42,overcast clouds
89,Barcelona,ES,41.3888,2.159,66.74,90,75,11.5,mist
90,Beamsville,CA,43.1668,-79.4829,54.63,63,49,5.75,scattered clouds
91,Hamilton,US,39.1834,-84.5333,61.45,43,20,14.97,few clouds
92,Zalesovo,RU,53.9939,84.7431,49.08,39,42,7.56,scattered clouds
93,Kapaa,US,22.0752,-159.319,80.58,83,75,5.75,broken clouds
94,Nome,US,64.5011,-165.4064,30.27,60,0,12.66,clear sky
95,Katobu,ID,-4.9408,122.5276,86.36,66,84,1.21,broken clouds
96,Biu,NG,10.6129,12.1946,71.58,72,100,2.53,overcast clouds
97,Alofi,NU,-19.0595,-169.9187,76.89,88,26,4.61,scattered clouds
98,Fortuna,US,40.5982,-124.1573,48.54,100,100,0.0,overcast clouds
99,Ponta Delgada,PT,37.7333,-25.6667,67.5,82,40,9.22,scattered clouds
100,Bredasdorp,ZA,-34.5322,20.0403,58.5,90,100,15.12,light rain
101,Arraial Do Cabo,BR,-22.9661,-42.0278,71.37,89,87,10.33,overcast clouds
102,Bardiyah,LY,31.7561,25.0865,70.2,76,20,18.43,few clouds
103,Jodar,ES,37.8406,-3.3526,65.98,42,9,4.41,clear sky
104,Innisfail,AU,-17.5333,146.0333,81.48,62,30,7.61,scattered clouds
105,Saskylakh,RU,71.9167,114.0833,27.79,91,100,14.0,overcast clouds
106,Tucurui,BR,-3.7661,-49.6725,72.99,95,64,3.47,broken clouds
107,Saint-Ambroise,CA,48.5501,-71.3324,52.34,96,93,1.23,overcast clouds
108,San Vicente De Canete,PE,-13.0751,-76.3835,60.87,82,12,1.95,few clouds
109,Bluff,NZ,-46.6,168.3333,56.8,72,1,10.16,clear sky
110,Mount Isa,AU,-20.7333,139.5,96.57,23,40,8.05,scattered clouds
111,Buala,SB,-8.145,159.5921,83.53,65,98,2.59,overcast clouds
112,Sisimiut,GL,66.9395,-53.6735,25.29,71,79,8.93,broken clouds
113,Chokurdakh,RU,70.6333,147.9167,12.45,96,96,7.58,overcast clouds
114,Thinadhoo,MV,0.5333,72.9333,81.91,74,58,15.68,broken clouds
115,Skala,PL,50.2305,19.8536,52.32,91,27,5.61,scattered clouds
116,Mahibadhoo,MV,3.7833,72.9667,80.01,82,98,17.16,overcast clouds
117,Vao,NC,-22.6667,167.4833,69.39,61,2,10.76,clear sky
118,Sept-Iles,CA,50.2001,-66.3821,49.05,98,100,25.32,mist
119,Marigot,MF,18.0667,-63.0833,81.05,78,20,10.36,few clouds
120,Chuy,UY,-33.6971,-53.4616,52.23,76,56,7.63,broken clouds
121,Airai,TL,-8.9266,125.4092,73.18,59,99,3.69,overcast clouds
122,Pacific Grove,US,36.6177,-121.9166,57.02,92,100,5.75,mist
123,Grand Gaube,MU,-20.0064,57.6608,77.4,65,12,11.01,light rain
124,Arlit,NE,18.7369,7.3853,78.53,13,2,5.28,clear sky
125,Sorland,NO,67.667,12.6934,49.86,76,40,26.84,scattered clouds
126,Praia,CV,14.9215,-23.5087,77.54,83,75,11.5,broken clouds
127,Mount Gambier,AU,-37.8333,140.7667,57.34,69,95,6.93,overcast clouds
128,Ouango,CF,4.3133,22.5552,72.36,92,100,1.36,overcast clouds
129,Clonakilty,IE,51.6231,-8.8706,47.41,74,55,26.06,broken clouds
130,Saint George,US,37.1041,-113.5841,71.8,19,0,1.99,clear sky
131,Kutum,SD,14.2,24.6667,74.82,26,34,10.56,scattered clouds
132,Namibe,AO,-15.1961,12.1522,66.36,85,63,4.21,broken clouds
133,Tzucacab,MX,20.0667,-89.05,73.8,100,99,2.57,light rain
134,Yakeshi,CN,49.2833,120.7333,41.61,25,20,25.7,few clouds
135,Berbera,SO,10.4396,45.0143,85.95,53,0,6.22,clear sky
136,Lazurne,UA,46.084,32.5295,50.34,59,1,18.03,clear sky
137,Provideniya,RU,64.3833,-173.3,27.36,88,80,9.15,broken clouds
138,Bambanglipuro,ID,-7.95,110.2833,81.97,69,64,10.29,broken clouds
139,Honggang,CN,46.4667,124.8667,55.26,22,27,12.66,scattered clouds
140,Paso Del Macho,MX,18.9667,-96.7167,68.88,97,22,3.49,few clouds
141,Pathein,MM,16.7833,94.7333,87.76,68,59,3.69,broken clouds
142,Mudgee,AU,-32.5943,149.5871,70.63,59,4,8.25,clear sky
143,Longyearbyen,SJ,78.2186,15.6401,19.24,73,0,2.3,clear sky
144,Afua,BR,-0.1567,-50.3867,77.09,87,96,4.94,overcast clouds
145,Akniste,LV,56.1615,25.7478,47.3,85,81,6.82,broken clouds
146,Port Keats,AU,-14.25,129.55,87.31,62,66,8.16,broken clouds
147,La Asuncion,VE,11.0333,-63.8628,89.33,66,2,10.36,clear sky
148,Camapua,BR,-19.5314,-54.0439,71.98,75,9,9.4,clear sky
149,Bileca,BA,42.8719,18.4297,55.29,78,8,4.47,clear sky
150,Vila Franca Do Campo,PT,37.7167,-25.4333,67.19,86,65,5.93,broken clouds
151,Gamba,GA,-2.65,10.0,74.35,94,100,6.73,heavy intensity rain
152,Oistins,BB,13.0667,-59.5333,80.69,83,75,12.66,broken clouds
153,Luorong,CN,24.4058,109.6086,85.84,20,21,12.03,few clouds
154,Inhambane,MZ,-23.865,35.3833,78.78,73,75,5.75,broken clouds
155,Ouahigouya,BF,13.5828,-2.4216,80.56,57,98,7.81,overcast clouds
156,Mancio Lima,BR,-7.6142,-72.8958,73.47,100,100,4.61,moderate rain
157,Port Augusta,AU,-32.5,137.7667,71.44,36,6,6.35,clear sky
158,Nanortalik,GL,60.1432,-45.2371,30.43,61,11,14.79,few clouds
159,Saldanha,ZA,-33.0117,17.9442,62.65,78,75,14.58,broken clouds
160,Tacuarembo,UY,-31.7333,-55.9833,45.36,88,35,8.01,scattered clouds
161,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,72.66,89,24,6.55,few clouds
162,Flinders,AU,-34.5833,150.8552,67.05,72,16,9.4,few clouds
163,Crotone,IT,39.0851,17.1178,62.55,77,0,5.75,clear sky
164,Shurugwi,ZW,-19.6702,30.0059,75.65,24,1,4.34,clear sky
165,Elko,US,41.0002,-115.5012,55.63,17,0,4.0,clear sky
166,Cabo San Lucas,MX,22.8909,-109.9124,76.51,80,26,7.0,scattered clouds
167,San Quintin,MX,30.4833,-115.95,65.19,73,78,3.29,broken clouds
168,Tasiilaq,GL,65.6145,-37.6368,30.36,55,51,7.47,broken clouds
169,Pangnirtung,CA,66.1451,-65.7125,32.9,72,8,5.79,clear sky
170,Castro,BR,-24.7911,-50.0119,54.39,98,100,7.0,light rain
171,Ayna,PE,-12.65,-73.9167,57.56,92,100,1.07,overcast clouds
172,Port Lincoln,AU,-34.7333,135.8667,60.39,58,98,8.34,overcast clouds
173,Kem,RU,64.9555,34.5793,45.61,91,99,5.57,overcast clouds
174,Nsukka,NG,6.8561,7.3927,68.63,96,100,1.48,light rain
175,Melfi,IT,40.9965,15.6514,54.3,78,2,3.44,clear sky
176,Kenai,US,60.5544,-151.2583,40.08,56,0,19.57,clear sky
177,Xique-Xique,BR,-10.8218,-42.7263,73.38,60,18,19.98,few clouds
178,Port Hedland,AU,-20.3167,118.5667,87.85,16,5,14.97,clear sky
179,Anadyr,RU,64.75,177.4833,28.9,86,40,2.24,light snow
180,Taos,US,36.4072,-105.5731,49.26,38,0,0.0,clear sky
181,Tombouctou,ML,20.0,-3.0,82.29,13,58,8.77,broken clouds
182,Puerto Carreno,CO,6.189,-67.4859,76.32,89,37,4.45,scattered clouds
183,Balezino,RU,57.9796,53.0106,43.74,89,100,7.56,overcast clouds
184,Eureka,US,40.8021,-124.1637,48.81,74,0,5.32,clear sky
185,Chernoyerkovskaya,RU,45.4331,37.7686,50.94,59,0,18.1,clear sky
186,Ust-Kuyga,RU,70.0167,135.6,10.58,96,78,8.12,broken clouds
187,Albany,US,42.6001,-73.9662,42.53,90,0,1.99,clear sky
188,Ixtapa,MX,20.7,-105.2,75.67,95,53,1.61,broken clouds
189,Kommunar,RU,59.6206,30.39,44.13,87,95,7.36,overcast clouds
190,Rawson,AR,-43.3002,-65.1023,60.82,26,19,22.88,few clouds
191,Paramirim,BR,-13.4425,-42.2389,66.7,73,4,5.5,clear sky
192,Irtyshskiy,RU,58.3333,68.1333,51.17,64,95,8.9,overcast clouds
193,Suluq,LY,31.6682,20.2521,71.22,67,2,14.18,clear sky
194,Dunedin,NZ,-45.8742,170.5036,52.81,75,64,1.99,broken clouds
195,Amurrio,ES,43.05,-3.0,57.04,87,1,5.19,clear sky
196,Kodiak,US,57.79,-152.4072,45.91,93,100,21.85,moderate rain
197,Ginda,IN,30.6945,78.4932,70.09,43,0,5.23,clear sky
198,Togitsu,JP,32.8333,129.85,78.78,61,20,5.75,few clouds
199,Solnechnyy,RU,50.7214,136.6319,51.67,70,59,5.53,broken clouds
200,Starodub,RU,52.5844,32.7633,39.18,72,36,6.35,scattered clouds
201,Chapais,CA,49.7834,-74.8492,42.58,95,43,4.72,scattered clouds
202,Lecce,IT,40.2167,18.1667,59.47,94,0,3.44,clear sky
203,Nelson Bay,AU,-32.7167,152.15,71.1,68,0,5.99,clear sky
204,Dalbandin,PK,28.8947,64.4101,82.15,5,0,5.95,clear sky
205,Caravelas,BR,-17.7125,-39.2481,71.42,89,8,5.35,clear sky
206,Ribeira Grande,PT,38.5167,-28.7,64.78,72,20,6.91,few clouds
207,Ilhabela,BR,-23.7781,-45.3581,70.47,95,98,3.49,overcast clouds
208,Salalah,OM,17.0151,54.0924,82.49,65,40,2.3,scattered clouds
209,La Ronge,CA,55.1001,-105.2842,44.85,61,100,20.71,overcast clouds
210,Quatre Cocos,MU,-20.2078,57.7625,77.11,68,39,16.58,light rain
211,Muzhi,RU,65.3667,64.6667,41.29,85,100,2.21,overcast clouds
212,Atambua,ID,-9.1061,124.8925,85.66,56,86,0.47,overcast clouds
213,Cherskiy,RU,68.75,161.3,8.78,95,100,6.46,overcast clouds
214,Tokmak,UA,47.2514,35.7058,46.74,50,0,12.64,clear sky
215,Ahipara,NZ,-35.1667,173.1667,58.26,76,89,6.71,overcast clouds
216,Porosozero,RU,62.7191,32.727,44.44,96,100,6.49,overcast clouds
217,Mehamn,NO,71.0357,27.8492,33.75,93,51,11.5,broken clouds
218,Balsta,SE,59.5671,17.5278,52.29,85,100,11.07,overcast clouds
219,Gloversville,US,43.0528,-74.3438,41.9,96,0,4.61,clear sky
220,Mandera,KE,3.9366,41.867,81.34,56,2,11.74,clear sky
221,Malumfashi,NG,11.7853,7.6218,69.01,60,97,5.39,overcast clouds
222,Alta Floresta,BR,-9.8756,-56.0861,71.89,82,95,2.93,overcast clouds
223,Kapit,MY,2.0167,112.9333,87.44,72,50,2.84,scattered clouds
224,Sungai Besar,MY,3.6746,100.9867,84.29,70,88,10.71,overcast clouds
225,Jadu,LY,31.953,12.0261,63.77,66,0,2.35,clear sky
226,Majagual,CO,8.5389,-74.6204,72.93,98,50,1.36,scattered clouds
227,Salinas,US,36.6777,-121.6555,57.42,87,100,8.05,mist
228,Adrar,MR,20.5022,-10.0711,83.21,30,100,10.51,overcast clouds
229,Aguimes,ES,27.9054,-15.4461,68.63,83,20,12.66,few clouds
230,Conceicao Do Araguaia,BR,-8.2578,-49.2647,74.01,64,60,3.91,broken clouds
231,Cayenne,GF,4.9333,-52.3333,75.24,94,0,2.3,clear sky
